Institution,Academic Discipline (if available),Enrollment Profile,Undergraduate Profile,Size and Setting,Scholarship Awarded,LACN/IVY/OTHER,Year (2005-2015)
University of North Carolina,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2010
University of Virginia,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2010
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Bowdoin College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,LACN,2010
The College of William and Mary,,HU: High undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2010
Harvard University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Harvard University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Harvard University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Harvard University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Harvard University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2010
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2010
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2010
Truman State University,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/R: Medium four-year, primarily residential",Rhodes,Other,2010
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2010
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2010
University of California-Los Angeles,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2010
University of Louisville,,MU: Majority undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2010
University of Pittsburgh,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2010
Wesleyan University,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,LACN,2010
Augsburg College,,HU: High undergraduate,"FT4/S/LTI: Full-time four-year, selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2009
Centre College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2009
Columbia University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2009
Duke University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2009
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2009
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Oberlin College,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,LACN,2009
Santa Clara University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/R: Medium four-year, primarily residential",Rhodes,Other,2009
Swarthmore College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2009
Universtiy of California-Los Angeles,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2009
University of Minnesota,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2009
University of North Carolina,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2009
Virginia Military Institute,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2009
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2009
City University of New York the City College,,HU: High undergraduate,"MFT4/S/HTI: Medium full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2009
Drake University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2009
Florida State University,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2009
Kansas State University,,HU: High undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2009
Northwestern University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Northwestern University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2009
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2009
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2009
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2009
University of Michigan,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2009
Univesity of Mississippi,,HU: High undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2009
University of Pennsylvania,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2009
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2009
California Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2008
Dartmouth College,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY/LACN,2008
Georgetown University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2008
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2008
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
U.S. Air Force Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2008
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2008
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
University of Oklahoma,,,,,Rhodes,Other,2008
University of Southern California,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2008
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2008
Columbia University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2008
Florida State University,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2008
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2008
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2008
Ohio State University,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2008
St. Olaf College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,LACN,2008
St. Olaf College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,LACN,2008
Swarthmore College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2008
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2008
University of California-Berkeley,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2008
University of Georgia,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2008
University of Georgia,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2008
University of Pennsylvania,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2008
University of Texas-Austin,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2008
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2007
Cornell University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Emory University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
New York University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2007
University of Minnesota,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2007
University of Oregon,,HU: High undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2007
Wake Forest University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2007
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2007
Case Western Reserve University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2007
Duke University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Georgetown University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Montana State University,,VHU: Very high undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2007
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2007
U.S. Air Force Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2007
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2007
University of North Carolina,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2007
University of Pittsburgh,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2007
Washington University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Washington University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2007
Amherst College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,LACN,2006
Dartmouth College,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY/LACN,2006
Florida State University,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2006
Nebraska Wesleyan University,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2006
Rice University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2006
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2006
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
University of Pennsylvania,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
University of Richmond,,HU: High undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
Wabash College,,ExU4: Exclusively undergraduate four-year,"FT4/S/LTI: Full-time four-year, selective, lower transfer-in","VS4/HR: Very small four-year, highly residential",Rhodes,Other,2006
Wheaton College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2006
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2006
Duke University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
Duke University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
Duke University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2006
Gettysburg College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2006
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2006
Sewanee-The University of the South,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2006
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
U.S. Naval Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
University of Denver,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/R: Medium four-year, primarily residential",Rhodes,Other,2006
University of Pittsburg,,MU: Majority undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2006
University of Washington,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2006
Wake Forest University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2006
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2006
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2006
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2006
Boston University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
City University of New York Brooklyn College,,HU: High undergraduate,"MFT4/S/HTI: Medium full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2005
Georgetown University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2005
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2005
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2005
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2005
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2005
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
U.S. Military Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2005
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
University of Chicago,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
University of North Carolina,,,,,Rhodes,Other,2005
University of Wisconsin Eau Claire,,VHU: Very high undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2005
Wheaton College,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2005
Williams College,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2005
California Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2005
City University of New York The City College,,HU: High undergraduate,"MFT4/S/HTI: Medium full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2005
Georgia Institute of Technology,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2005
